Order,Open,High,Low,Close,Volume
0,514.37,515.815,509.08,510.85,91879566
1,515.68,519.48,512.08,518,70099007
2,513.48,516.16,512.09,514.12,82652806
3,520.5,520.75,514.35,519.32,67283576
4,519.15,520.18,517.89,518.72,47850048
5,514.46,520.44,514.01,518.43,73736571
6,523.52,523.8674,512.755,513.07,95643401
7,517.72,520.95,517.665,519.41,58385823
8,518.24,518.98,516.48,518.84,72924463
9,523.83,524.38,520.97,522.16,61182995
10,523.21,524.61,522.78,523.07,96294886
11,521.71,523.21,519.485,523.17,82999777
12,521.23,521.58,518.4,518.81,65463744
13,519.8,520.95,519.61,519.77,48512108
14,522.11,522.605,520.97,521.21,79070842
15,523.39,524.11,521.91,522.2,60256112
16,515.77,520.62,515.08,520.48,69594574
17,512.15,515.995,511.12,515.71,60755263
18,514,515.48,512.44,512.86,88893331
19,510.21,511.7,508.122,509.83,107646297
20,516.97,517.125,511.82,514.95,103493184
21,517.11,517.29,514.49,515.97,54438487
22,513.45,517.38,510.86,516.78,70833119
23,510.48,511.88,508.5,511.28,61872913
24,515.46,518.2201,511.13,511.72,86532535
25,513.14,515.89,509.8053,514.81,58652085
26,510.55,512.069,508.42,509.75,68382367
27,510.24,510.7,504.91,507.18,72855623
28,512.03,514.2,512,512.3,49799257
29,508.98,513.29,508.56,512.85,76844844
30,508.07,509.74,505.35,508.08,83924795
31,505.33,506.855,504.96,506.26,56506634
32,506.7,507.16,504.75,506.93,48854528
33,508.3,508.75,505.86,505.99,50386738
34,509.27,510.13,507.1,507.85,61321818
35,504.01,508.49,503.02,507.5,76402535
36,495.42,497.37,493.56,497.21,59603771
37,497.72,498.41,494.45,496.76,71736740
38,501.7,502.87,498.75,499.51,75532928
39,499.29,502.2,498.795,502.01,61682960
40,496.79,499.07,494.4,498.57,68387827
41,494.53,497.09,490.715,494.08,113099199
42,501.17,503.5,500.24,500.98,56502283
43,498.84,501.65,498.49,501.2,63979375
44,498.1,498.71,497.26,498.32,52343636
45,496.29,498.53,495.36,498.1,70556506
46,493.52,494.32,492.05,493.98,55918602
47,493.695,494.3778,490.23,492.55,75757102
48,489.65,496.05,489.3,494.35,99228192
49,484.63,489.23,483.8,489.2,91891637
50,488.62,489.0813,482.86,482.88,126011062
51,490.56,491.62,490.11,490.89,58618386
52,487.73,491.415,487.17,491.27,61322751
53,487.59,489.12,486.54,487.41,76641609
54,487.575,488.305,485.39,488.03,72524989
55,487.81,488.77,484.8819,485.39,80222006
56,484.01,485.105,482.89,484.86,49945297
57,484.01,485.22,482.78,483.45,75844931
58,477.65,482.72,476.5374,482.43,110834483
59,474.01,477.06,472.42,476.49,91856248
60,471.82,472.79,469.87,472.29,68843871
61,475.26,476.6098,473.06,474.93,85014870
62,477.84,478.6,475.23,476.68,58026420
63,477.59,478.12,472.26,476.35,77940723
64,474.16,477.4481,473.87,476.56,67310640
65,471.87,474.93,471.35,473.88,65931439
66,468.43,474.75,468.3,474.6,74879074
67,467.49,470.44,466.43,467.92,85553758
68,468.3,470.96,467.05,467.28,84232169
69,470.43,471.19,468.17,468.79,103585866
70,472.16,473.67,470.49,472.65,123007793
71,476.49,477.03,473.3,475.31,122283149
72,476.88,477.55,476.26,476.69,77158116
73,475.44,476.66,474.89,476.51,63874396
74,474.07,476.58,473.99,475.65,55386952
75,473.86,475.38,471.7,473.65,67160419
76,471.33,472.975,468.84,472.7,86667465
77,473.96,475.895,467.82,468.26,102920959
78,472.53,474.92,472.45,474.84,52024922
79,470.98,472.98,469.8929,471.97,70375285
80,469.49,470.7,467.4263,469.33,141553673
81,472.5,473.73,469.25,472.01,119026049
82,464.49,470.7599,464.12,470.5,93277960
83,461.63,464.2,460.6,464.1,68327617
84,459.69,462.17,459.47,461.99,65002247
85,457.46,460.745,457.21,460.2,83194404
86,456.91,458.9,456.29,458.23,66995446
87,458.81,458.84,454.31,454.76,67701116
88,455.26,457.59,454.87,456.6,69793469
89,455.6,459.1206,454.34,456.69,72430888
90,455.77,459.65,455.16,459.1,89183400
91,455.48,456.76,453.34,456.4,79752700
92,457.15,458.32,454.2,454.61,63145992
93,454.08,456.27,453.5,454.93,62115011
94,454.65,455.4901,454.0799,454.48,50505985
95,455.07,455.5,454.73,455.3,29737375
96,454.98,456.38,453.8895,455.02,59446573
97,453.1842,454.131,451.9599,453.27,49244639
98,450.53,455.125,450.52,454.26,70055633
99,450.24,451.42,449.29,450.79,83193902
