open,high,low,close,volume
504.45,504.45,504.45,504.45,1745412
504.5,504.79,504.36,504.45,55257
504.57,504.63,504.41,504.51,13537
504.47,504.6,504.36,504.6,4679
504.45,504.58,504.385,504.47,4776
504.35,504.51,504.33,504.47,5163
504.33,504.44,504.15,504.38,5238
504.28,504.34,504.2,504.32,902
504.072,504.28,504.06,504.27,638
504.37,504.39,503.68,504.06,10243
504.52,504.61,504.36,504.36,1777
504.41,504.52,504.36,504.46,4758
504.7,504.7,504.19,504.415,3695
504.67,504.73,504.62,504.69,2762
504.59,504.71,504.571,504.7,376
504.55,504.73,504.53,504.595,3894
504.58,504.62,504.47,504.57,1712
504.63,504.7,504.53,504.61,2381
504.45,504.64,504.45,504.63,1748678
504.63,504.7,504.49,504.515,2499
504.56,504.65,504.54,504.63,3798
504.7,504.72,504.45,504.56,8661
504.41,504.74,504.41,504.73,6169
504.36,504.54,504.36,504.45,14785
504.1,504.72,504.1,504.385,102612
504.05,504.45,504.0,504.15,8841
504.02,504.1,504.01,504.04,15354
504.05,504.1,504.0,504.04,5812
504.1,519.31,504.0,504.09,2917
504.05,504.1,503.98,504.01,1255
504.05,504.1,503.85,504.05,15961
504.16,504.16,504.0,504.075,7976
504.07,504.2,504.01,504.08,30546
504.12,504.2,504.05,504.09,12035
504.14,504.2,504.12,504.12,6961
504.25,504.45,504.1,504.2,23089
504.37,504.45,504.21,504.24,41628
504.075,504.465,504.06,504.22,138909
503.85,504.45,503.85,504.06,188731
503.715,503.85,503.69,503.82,53177
503.78,504.45,503.61,503.71,43876
503.99,504.0,503.75,503.77,76738
504.03,504.05,503.9,504.0,96710
504.055,514.825,503.99,504.03,43423
504.12,504.561,503.98,504.06,155815
504.13,510.71,504.01,504.11,367607
504.45,504.45,504.11,504.13,1852057
504.17,504.576,504.11,504.175,5519079
504.5,509.269,504.03,504.15,4391665
504.925,505.19,504.45,504.5,4350209
505.14,505.16,504.63,504.925,2346889
504.38,505.26,504.23,505.15,2480330
504.96,505.02,504.28,504.36,1452406
504.84,505.09,504.5,504.965,1149113
504.26,505.269,504.25,504.83,1077264
504.63,504.85,504.18,504.26,1025624
503.67,504.9,503.67,504.62,1103879
