Order,Open,High,Low,Close,Volume
0,510.85,510.85,510.85,510.85,1967878
1,510.17,510.17,509.75,509.98,27368
2,510.18,510.388,510.1,510.11,7803
3,510.07,510.388,510.02,510.18,7398
4,510.175,510.2,510,510.04,12240
5,510.21,510.388,510.1,510.195,3146
6,510.235,510.388,510.2,510.2,2060
7,510.25,510.388,510.22,510.25,1572
8,510.29,510.3,510.22,510.23,7051
9,510.37,510.39,510.29,510.3,3123
10,510.3,510.39,510.29,510.37,2491
11,510.29,510.39,510.29,510.3,958
12,510.315,510.38,510.25,510.34,601
13,510.3,510.39,510.3,510.315,516
14,510.33,510.39,510.3,510.39,1848
15,510.38,510.38,510.3,510.315,2415
16,510.33,510.39,510.33,510.355,575
17,510.39,510.39,510.31,510.355,2542
18,510.85,510.85,510.31,510.35,1969160
19,510.42,510.44,510.32,510.33,259
20,510.41,510.46,510.35,510.35,4118
21,510.44,510.47,510.41,510.46,1132
22,510.48,510.48,510.42,510.42,1794
23,510.42,510.5,510.41,510.445,2415
24,510.48,510.48,510.42,510.479,2950
25,510.5,510.55,510.4,510.479,4531
26,510.55,510.67,510.41,510.41,24278
27,510.52,510.6,510.52,510.59,1885
28,510.57,510.63,510.51,510.53,2216
29,510.57,510.65,510.57,510.63,1443
30,510.7,510.7,510.57,510.6,6611
31,510.65,510.7,510.57,510.7,7012
32,510.7,510.75,510.625,510.65,7095
33,510.705,510.75,510.65,510.7,8146
34,510.79,510.82,510.7,510.705,13286
35,510.82,510.85,510.73,510.77,17037
36,510.85,510.85,510.68,510.85,12543
37,510.74,510.77,510.65,510.69,36285
38,510.87,510.87,483.071,510.77,10498
39,510.99,510.99,510.84,510.86,20252
40,510.98,511.01,510.85,511,63970
41,510.92,510.98,510.91,510.97,32306
42,510.93,510.99,510.89,510.93,82681
43,510.91,510.97,510.85,510.93,78064
44,510.89,510.95,510.88,510.905,51117
45,510.85,511.05,510.85,510.885,102617
46,510.85,511.05,510.703,511.04,5345519
47,511.03,511.03,510.5,510.925,745810
48,510.82,518.745,510.8,511.03,4660169
49,510.26,510.93,510.12,510.82,5333460
50,510.73,510.9,509.881,510.26,3140022
51,510.49,510.87,510.32,510.72,1962595
52,509.3,510.52,509.3,510.49,1866143
53,509.91,509.925,509.26,509.29,1107731
54,509.495,510.16,509.4,509.91,974627
55,509.855,510.08,509.46,509.505,803032
56,509.59,509.97,509.51,509.845,811233
57,509.34,509.82,509.08,509.599,990407
58,509.56,509.78,509.31,509.32,659813
59,509.685,509.93,509.33,509.555,776045
60,509.62,509.797,509.22,509.685,881089
61,510.17,510.29,509.56,509.625,822145
62,509.83,510.38,509.81,510.17,545019
63,509.95,510.17,509.721,509.818,497347
64,509.835,510.45,509.64,509.945,1043287
65,510.24,510.42,509.76,509.83,741562
66,510.68,510.74,510.01,510.25,844521
67,510.595,510.73,510.29,510.67,841223
68,510.98,511.19,510.58,510.59,575333
69,510.86,511.33,510.78,510.988,594423
70,511.18,511.415,510.79,510.86,840952
71,510.4,511.4,510.34,511.181,806439
72,510.49,510.49,509.96,510.41,728583
73,510.6,510.97,510.46,510.49,613405
74,510.93,511.25,510.5,510.59,768146
75,510.31,511.165,510.28,510.905,1174986
76,509.62,510.53,509.6,510.305,1185558
77,509.455,509.68,509.335,509.63,660534
78,509.69,509.695,509.32,509.46,804205
79,509.82,510.06,509.47,509.7,894638
80,510.43,510.45,509.75,509.815,1118228
81,510.56,511.09,510.4,510.44,1339007
82,510.26,510.72,510.26,510.57,679856
83,510.43,510.77,510.03,510.28,954198
84,510.58,510.82,510.18,510.425,1336536
85,510.79,510.98,510.56,510.57,821113
86,510.56,511.075,510.56,510.85,1081582
87,510.69,510.99,510.48,510.56,1386530
88,510.93,511.07,510.62,510.69,1029424
89,511.59,511.71,510.57,510.925,1571609
90,511.8,512.02,511.27,511.59,950149
91,512.33,512.55,511.76,511.82,956558
92,511.85,512.493,511.84,512.32,915427
93,512.64,512.838,511.79,511.85,997226
94,513.17,513.23,512.64,512.64,611157
95,513.13,513.53,513.13,513.16,392219
96,513.43,513.475,512.96,513.13,461269
97,513.51,513.69,513.32,513.4,429012
98,513.91,513.99,513.34,513.5,490082
99,513.54,514,513.415,513.91,456839
100,513.435,513.58,513.14,513.54,488484
101,513.772,514.03,513.385,513.435,705515
102,513.53,513.81,513.42,513.78,676187
103,513.085,513.54,512.97,513.53,581564
104,513.278,513.42,512.912,513.1,675829
105,512.73,513.4,512.56,513.27,746846
106,512.52,512.96,512.39,512.725,685057
107,512.99,512.99,512.46,512.52,771555
108,512.31,513.055,512.2,512.985,940572
109,512.64,512.9,512.235,512.31,846704
110,512.535,512.7,512.02,512.65,1092499
111,512.84,512.95,512.46,512.54,733951
112,512.98,513.11,512.45,512.84,1063836
113,513.58,513.74,512.753,512.99,1235081
114,513.81,514.09,513.54,513.572,1510096
115,514.185,514.27,513.74,513.8,661578
116,514.31,514.519,514.165,514.19,676318
117,514.18,514.55,513.56,514.32,2017107
118,513.96,514.4,513.78,514.19,1125029
119,514.53,514.75,513.71,513.97,1924672
120,515.37,515.44,514.28,514.52,2647513
121,515.015,515.38,514.72,515.34,1167395
122,515.34,515.675,514.78,515.01,2147023
123,515.18,515.815,515.04,515.33,1517744
124,515.14,515.31,514.86,515.165,1005003
125,514.99,515.24,514.75,515.15,1216229
126,514.37,515.28,514.08,514.98,2074874
127,513.84,514.41,513.84,514.41,135957
128,514.24,514.38,513.78,513.85,93580
129,514.1,514.44,514.07,514.229,100621
130,513.88,514.19,513.66,514.16,67709
131,513.8,514.08,513.55,513.885,92283
132,514.24,514.25,513.44,513.8,200041
133,514.79,514.8,514.203,514.28,80871
134,514.805,514.9,514.57,514.8,60607
135,514.55,518,514.55,514.83,72521
136,515.72,515.849,514.53,514.6,172004
137,516.36,516.4,515.66,515.76,78793
138,516.42,516.47,516.04,516.35,55716
139,516.25,518,516.24,516.46,27559
140,516.63,516.67,516.24,516.24,16824
141,516.64,518,516.57,516.71,33456
142,516.66,516.82,516.51,516.61,14572
143,517.07,518.46,516.65,516.66,26417
144,516.18,518.75,515.58,518.22,88386
145,516.73,516.83,516.65,516.82,13604
146,517.04,517.13,516.65,516.68,13087
147,516.72,517.08,516.61,517.08,46466
148,516.6,516.71,516.42,516.69,7661
149,516.48,516.67,516.47,516.6,16108
150,516.39,516.57,516.33,516.42,18854
151,516.1,516.38,516.01,516.38,18879
152,515.88,516.1,515.85,516.1,19942
153,515.92,516.04,515.8,515.85,10075
154,515.719,516.07,515.7,515.91,62075
155,516.18,516.18,515.68,515.7,18854
156,515.93,516.25,515.83,516.19,28741
157,515.89,516.09,515.45,515.84,22286
158,516.49,516.49,515.42,515.84,36341
159,517.2,517.2,516.3,516.51,21108
160,517.25,517.27,517.2,517.2,2131
161,517.38,517.45,517.25,517.35,2020
162,517.4,517.4,517.33,517.39,8289
